"동별(1)",동별(2),동별(3),2015,2015,2015,2015,2015,2015,2015,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020
"동별(1)",동별(2),동별(3),종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
"동별(1)",동별(2),동별(3),소계,단독주택,단독주택,단독주택,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,소계,단독주택,단독주택,단독주택,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택
"동별(1)",동별(2),동별(3),소계,소계,일반단독주택,다가구주택,영업겸용주택,소계,소계,소계,소계,소계,소계,일반단독주택,다가구주택,영업겸용주택,소계,소계,소계,소계
"서울시",광진구,군자동,4038,1520,68,1253,199,779,277,1364,98,4556,1435,53,1145,237,779,268,1978,96
"서울시",광진구,중곡1동,2823,1213,46,907,260,106,101,1295,108,3613,1094,37,788,269,148,98,2159,114
"서울시",광진구,중곡2동,4177,1341,63,1029,249,300,119,2280,137,4986,1188,38,876,274,300,100,3265,133
"서울시",광진구,중곡3동,3269,1295,71,1025,199,444,48,1363,119,3870,1179,57,908,214,462,49,2058,122
"서울시",광진구,중곡4동,6545,1671,103,1346,222,314,680,3750,130,7366,1508,94,1177,237,314,666,4746,132
"서울시",광진구,능동,1954,859,67,718,74,22,72,973,28,2531,786,44,647,95,21,72,1620,32
"서울시",광진구,구의1동,4389,1195,34,939,222,264,205,2595,130,5195,1070,27,793,250,264,180,3553,128
"서울시",광진구,구의2동,5815,1094,69,879,146,450,713,3471,87,7341,977,56,761,160,1355,714,4221,74
"서울시",광진구,구의3동,8219,473,19,352,102,5649,412,1639,46,9070,424,15,299,110,5985,326,2291,44
"서울시",광진구,광장동,10213,219,46,126,47,9003,481,460,50,10349,214,37,117,60,9068,481,538,48
"서울시",광진구,자양1동,4282,1329,46,1034,249,527,202,2119,105,5398,1205,36,893,276,784,182,3118,109
"서울시",광진구,자양2동,6331,944,16,704,224,2773,283,2245,86,7066,848,14,601,233,2802,257,3075,84
"서울시",광진구,자양3동,8268,471,32,370,69,7088,271,371,67,8582,402,23,301,78,7088,248,782,62
